DateTime,AddedIPs,RemovedIPs
1474347774,3,3
1474351433,2,0
1474354986,3,1
1474355453,2,2
1474358573,0,3
1474362172,1,0
1474363193,1,2
1474369374,1,1
1474371053,3,1
1474372973,0,1
1474376573,2,2
1474380653,2,0
1474383773,1,2
1474387374,1,0
1474387853,2,0
1474390975,0,6
1474398174,4,7
1474401775,1,0
1474405373,2,2
1474405793,1,4
1474408974,0,1
1474412573,3,3
1474413593,2,1
1474416173,0,1
1474423553,1,6
1474426974,3,0
1474430579,4,4
1474430994,2,3
1474437775,1,2
1474438914,2,2
1474444974,2,1
1474447374,1,0
1474452180,3,3
1474455774,2,2
1474456254,5,3
1474463103,0,1
1474463454,1,0
1474470174,0,1
1474471194,5,0
1474477376,5,3
1474480976,2,0
1474484575,1,2
1474488176,3,3
1474488594,1,3
1474491784,2,0
1474495376,1,6
1474495854,4,0
1474498976,1,2
1474502574,3,2
1474509776,1,5
1474513376,5,9
1474513854,2,0
1474516974,1,0
1474520575,2,0
1474521295,0,3
1474524176,0,3
1474527775,4,0
1474529455,0,1
1474534976,4,0
1474538575,6,1
1474538995,1,0
1474545802,1,6
1474546855,2,0
1474552984,0,3
1474555735,3,1
1474560175,5,6
1474563777,3,0
1474564195,3,1
1474570975,6,7
1474571815,3,0
1474574575,0,4
1474578175,5,0
1474579255,4,0
1474581775,0,7
1474585376,3,0
1474588975,2,2
1474596175,1,7
1474597255,4,0
1474599776,0,4
1474603383,4,0
1474606976,3,0
1474610577,1,4
1474614177,3,3
1474614657,3,0
1474617776,2,0
1474621377,1,6
1474622236,3,0
1474624946,1,0
1474628597,3,0
1474629555,0,2
1474632195,0,1
1474635796,3,2
1474636935,1,0
1474639518,0,2
1474643003,3,3
1474644315,2,0
1474650197,3,2
1474651875,2,1
1474657404,1,4
1474660997,2,0
1474661955,2,0
1474664733,0,3
1474668195,4,0
1474669215,1,2
1474675396,1,1
1474678996,1,2
1474682537,1,7
1474686196,2,10
1474687096,3,0
1474693397,2,2
1474695016,1,1
1474697116,0,2
1474700597,3,0
1474704198,0,4
1474707796,3,3
1474711336,3,0
1474712356,3,1
1474717961,2,0
1474722160,6,1
1474725280,1,0
1474729362,2,1
1474732962,1,3
1474736560,1,3
1474740219,0,4
1474740640,2,0
1474743760,1,0
1474747420,2,5
1474750420,2,0
1474754562,1,1
1474758160,3,8
1474758460,2,0
1474761820,1,2
1474765360,2,2
1474768961,1,7
1474772560,1,1
1474776222,3,5
1474779280,2,0
1474783361,4,4
1474786962,4,0
1474787381,3,0
1474797822,4,2
1474801361,1,0
1474805023,2,4
1474808021,1,0
1474812223,0,5
1474815761,4,3
1474816181,4,0
1474822961,1,5
1474826562,2,2
1474830163,3,0
1474833761,4,3
1474836822,3,0
1474837361,0,3
1474841022,3,0
1474844561,3,5
1474851761,2,1
1474855423,3,1
1474858961,2,7
1474862569,4,2
1474865681,7,0
1474866162,0,1
1474869773,4,1
1474873363,3,0
1474873782,0,1
1474880623,2,1
1474884223,2,1
1474887763,1,0
1474891362,4,5
1474894482,1,2
1474894962,0,2
1474898562,3,0
1474902163,4,1
1474902582,1,2
1474905762,1,1
1474909423,1,4
1474913023,4,0
1474916564,2,0
1474920162,2,2
1474923222,1,0
1474923766,0,2
1474927362,0,3
1474930962,2,0
1474931322,3,2
1474938162,2,0
1474941764,0,2
1474945364,2,6
1474948964,2,0
1474952563,2,3
1474956163,4,2
1474959766,3,0
1474960003,2,0
1474963363,2,4
1474966963,2,0
1474970563,2,0
1474974163,1,6
1474977764,2,0
1474981425,1,0
1474984969,3,2
1474988587,5,0
1474988683,1,0
1474992163,2,0
1474995763,3,2
1474999424,2,2
1475002965,3,0
1475006563,1,6
1475010283,1,1
1475013763,2,0
1475016883,4,2
1475020963,4,6
1475024564,3,1
1475028165,1,2
1475031884,1,0
1475035423,3,5
1475038964,7,0
1475042084,2,3
1475042564,0,1
1475046164,2,2
1475049766,1,1
1475053425,2,3
1475056965,1,1
1475064164,1,2
1475067764,3,0
1475069504,2,3
1475074964,3,2
1475078565,3,4
1475082164,1,0
1475085824,4,1
1475089364,0,7
1475092964,2,5
1475096564,4,0
1475099564,5,3
1475103764,3,1
1475107425,3,0
1475110965,2,4
1475114567,2,5
1475117685,3,0
1475121825,2,3
1475125393,3,8
1475125785,2,0
1475132626,1,2
1475136165,3,6
1475139766,4,1
1475143365,2,3
1475146485,2,0
1475150565,3,1
1475154226,1,1
1475161365,4,1
1475164969,3,2
1475168565,4,0
1475172165,2,7
1475175225,1,0
1475175767,0,3
1475179365,1,0
1475182967,2,3
1475183385,2,0
1475186572,1,0
1475190165,2,4
1475193345,18,1
1475197367,4,1
1475201025,1,0
1475204025,5,3
1475208166,1,7
1475211827,2,0
1475212246,0,6
1475218967,1,0
1475222146,3,3
1475222566,0,1
1475229766,2,3
1475233426,0,1
1475236970,1,0
1475240566,2,2
1475240986,2,1
1475247767,2,0
1475251367,3,1
1475255026,4,4
1475258566,7,3
1475261626,7,0
1475265828,1,6
1475269366,2,0
1475269726,2,0
1475272967,4,0
1475276628,3,3
1475280228,2,6
1475283827,1,3
1475287427,1,4
1475290427,2,0
1475290969,0,4
1475294567,1,2
1475298347,2,5
1475301773,1,4
1475305383,2,5
1475308787,2,0
1475312567,1,5
1475316172,1,2
1475319227,0,1
1475319829,0,2
1475323367,1,0
1475326971,0,2
1475327447,3,0
1475330569,0,1
1475334167,3,0
1475337767,1,2
1475341369,1,1
1475344969,1,9
1475348087,2,0
1475348567,0,2
1475352167,1,3
1475355767,3,2
1475356127,1,2
1475359367,1,1
1475362967,2,0
1475366567,4,2
1475370227,2,4
1475373767,3,3
1475376827,5,0
1475380969,2,3
1475384567,3,7
1475388169,0,3
1475391829,4,3
1475395368,3,3
1475398968,2,0
1475402572,1,0
1475405628,2,3
1475406228,0,6
1475409768,1,3
1475413368,2,11
1475413788,1,0
1475417043,0,5
1475420568,2,0
1475424228,4,1
1475427768,2,0
1475431430,4,4
1475434428,1,3
1475438569,2,4
1475442230,0,2
1475445828,3,4
1475449368,2,0
1475452979,1,0
1475460168,0,5
1475463229,1,0
1475467368,4,4
1475470968,1,4
1475471388,2,0
1475478229,2,10
1475481769,1,0
1475485369,1,0
1475488969,3,1
1475492029,4,3
1475492569,0,3
1475496230,2,0
1475500009,3,6
1475503369,4,4
1475506969,2,1
1475510570,6,0
1475514169,1,2
1475517771,4,9
1475524969,0,2
1475528569,2,3
1475528929,0,1
1475532169,1,1
1475535769,1,2
1475539369,2,0
1475542969,4,1
1475546570,0,3
1475549629,5,0
1475553771,2,7
1475557369,2,4
1475557789,2,0
1475564569,1,3
1475568171,3,0
1475571829,1,1
1475575381,1,2
1475578970,1,3
1475582570,5,0
1475585690,6,0
1475589770,4,3
1475593190,2,3
1475596970,2,0
1475600570,1,5
1475604171,5,3
1475607772,2,0
1475608250,1,0
1475611372,1,0
1475615041,3,0
1475618030,5,0
1475622170,1,5
1475625770,2,2
1475626790,1,1
1475629370,0,1
1475632972,3,0
1475636690,3,3
1475640170,1,3
1475643890,2,5
1475647490,0,1
1475651091,3,7
1475654690,0,1
1475658170,3,3
1475661231,3,0
1475665491,3,4
1475668971,1,0
1475672580,2,0
1475676171,2,2
1475679291,4,0
1475679771,0,2
1475683492,2,1
1475687032,2,2
1475690691,0,3
1475694181,2,4
1475694531,2,0
1475697771,1,0
1475701372,2,1
1475704973,0,1
1475708573,3,2
1475711691,3,0
1475715894,3,3
1475718831,1,1
1475723032,2,9
1475726391,1,0
1475730231,1,1
1475733771,1,8
1475734191,1,0
1475737431,0,1
1475741092,1,1
1475744571,1,4
1475748171,0,1
1475755373,1,3
1475759212,3,2
1475762572,0,4
1475766186,5,2
1475769773,2,0
1475773372,2,6
1475777033,3,0
1475780032,2,1
1475784172,3,4
1475787773,3,0
1475788552,5,2
1475794973,1,11
1475798573,2,0
1475802172,1,1
1475805773,10,6
1475808832,2,2
1475809373,0,1
1475812972,2,2
1475816572,1,7
1475816932,1,0
1475820172,0,1
1475823772,1,2
1475827374,4,2
1475830973,1,1
1475834572,2,0
1475837692,2,4
1475841772,2,3
1475845493,3,1
1475848972,2,2
1475852573,2,0
1475856174,0,2
1475859834,3,2
1475863373,3,1
1475866493,3,0
1475866974,0,1
1475870573,2,0
